username,natives,learning
DracooS,Spanish (Spain),Japanese
konradserocki,Polish,English (US)
Riwia04,Polish,"Czech,English (UK),German,Latin,Russian,Japanese"
cobra198315,Russian,Korean
CarlaPaulisan,Romanian,Korean
cmcam,English (US),"Korean,Tagalog"
emanmq1234,Arabic,English (US)
ann79199,Russian,Czech
zenzenzenzen,Japanese,English (US)
etain,Polish,"Russian,English (UK)"
jedoni,Spanish (Spain),English (UK)
Heloisavaldes1029,Portuguese (Portugal),"Japanese,Korean"
Someonewholearns,"Finnish,Russian","English (UK),French (France),Korean,Spanish (Spain),Swedish,Simplified Chinese (China),Thai"
MariaAlexandrova,Russian,Korean
djama2828,Ukrainian,English (US)
Anastasia31k,Russian,Korean
Rina126,Polish,"English (US),Spanish (Spain)"
adelinasorokina99,Russian,"English (US),Korean"
wikciasweet,Polish,"English (US),Japanese"
chiiara,"Italian,English (UK)","French (France),German,Japanese,Korean,Spanish (Spain)"
konradpawelak,Polish,English (US)
Staaryn,Simplified Chinese (China),"English (UK),French (France),Traditional Chinese (Hong Kong)"
roxxtwelve,English (US),Vietnamese
nikolaunicorn123,Polish,"English (UK),French (France)"
Manon753,French (France),"English (UK),Korean"
Mummymazi,Russian,English (US)
emilydobson112,English (US),Korean
Jessi_Kookie,German,"English (US),Korean"
stalix,French (France),"Korean,English (UK),Spanish (Spain)"
kamimine,Korean,"Arabic,Danish,English (UK),English (US),German,Hindi,Japanese,Russian,Simplified Chinese (China),Thai"
AdamJewel,Traditional Chinese (Taiwan),Japanese
tokusabu,Japanese,English (US)
Amalia0102,"Dutch,English (US),Norwegian (bokmal)","French (France),Korean"
Oztronaut,Polish,"English (US),German"
KiingCrissi,English (US),"Japanese,Korean"
AlienAlex,"English (UK),Polish","French (France),Korean,Japanese"
flowercheol,"English (US),Portuguese (Brazil)","German,Japanese,Korean,Simplified Chinese (China)"
lehuynh,Vietnamese,English (US)
Jenni_aj,"English (US),Spanish (Mexico)",Korean
katiamartsenuk,Ukrainian,English (US)
sketchcake,Russian,"English (US),German,Japanese"
ganesh101,"English (US),Hindi,Marathi","French (France),German,Italian"
jule_199,"English (US),German",Korean
pizzaiolo,Portuguese (Brazil),Japanese
trishpabello,Tagalog,"Korean,Spanish (Spain)"
Affident,"English (US),French (France)",Japanese
nanzc74,English (US),French (Canada)
Ciel173,Vietnamese,English (US)
get_764,Japanese,English (US)
YuriRyzhenkov,Russian,English (US)
YokoKuramaRose,English (US),"Javanese,Korean"
aidan22,Korean,English (US)
Fazeche,Russian,Korean
duuuucha,Polish,English (US)
natty122us,Polish,"English (US),French (France),Spanish (Spain),Swedish"
arozowykwiat,French (France),English (US)
Koorni,Polish,"English (US),Korean,Japanese"
rizuma,English (US),English (US)
UglyOnesan,English (US),Japanese
creven0198u,Polish,English (US)
Vanwa,Turkish,German
agustineyengie,English (US),English (US)
danny_ahmed,English (US),"English (UK),Spanish (Spain)"
OakForestDirt,English (US),Japanese
toma_,"Arabic,English (US)","Japanese,Korean,Turkish,German"
Angel_A99,Russian,English (US)
dbonino0,Spanish (Spain),English (US)
katecake,Traditional Chinese (Taiwan),"Japanese,Korean"
Kayjae,English (US),"German,Korean"
yunnnie,Korean,English (US)
yunnnie,Korean,English (US)
tatianavii20,Portuguese (Portugal),English (US)
Mary1310,Russian,English (UK)
tsaij3,"English (US),Traditional Chinese (Taiwan)","Japanese,Korean"
warshiper,Korean,English (US)
knapikus,Polish,English (US)
ShanH,English (UK),"Spanish (Spain),Tagalog"
april201424,"English (US),Spanish (Mexico)","Japanese,Korean"
_bishamon__,Italian,"English (US),French (France),Japanese,Korean"
cpliao,"Simplified Chinese (China),English (US)",Japanese
Jakub1,Polish,English (US)
Rosella13,Polish,"English (UK),German"
Mikachoo,"Dutch,English (UK)","Afrikaans,Korean"
sannynita,English (US),Korean
mikolaj2004,Polish,"English (UK),English (US),French (France),German"
victozase,Spanish (Spain),Japanese
solointro,English (US),"Arabic,Tagalog,Simplified Chinese (China)"
katez_,Polish,Spanish (Spain)
k902,Korean,"English (US),French (France),German,Japanese,Spanish (Spain)"
Emagi,"English (US),Polish",Korean
maryanjelmun,Spanish (Spain),"English (US),French (France),Simplified Chinese (China)"
leonunaye,Indonesian,Korean
Tram173,Vietnamese,English (US)
Sophiagrig,English (US),English (US)
ewek,Polish,English (US)
evaking,Traditional Chinese (Taiwan),English (UK)
whether,English (US),English (US)
agiga,Polish,"English (UK),Latin,Esperanto"
darkangel36,English (US),Korean
xUlmo,"German,Polish","English (US),Latin,Polish"
liluke,Simplified Chinese (China),"Japanese,English (US)"
Amy18rong,Traditional Chinese (Taiwan),"English (UK),Korean"
dakynz,Polish,"English (US),German,Italian,Spanish (Spain)"
kamakura-san,Portuguese (Portugal),"English (US),Japanese,Spanish (Spain)"
WarDog,Simplified Chinese (China),English (UK)
rlrldhs,Korean,English (US)
toywar0loy,Polish,"Dutch,English (US),German,Japanese,Russian,Spanish (Spain)"
janwitek88,Polish,"English (US),Japanese,Korean,Russian"
XalexX,"English (US),Spanish (Spain)","Japanese,Korean"
DougieFresh,English (US),"English (US),Tagalog"
kubaxdd1234,Polish,English (US)
famke,English (UK),"Dutch,French (France),Korean"
itsmera,English (US),French (France)
JuneHope,Norwegian (bokmal),Korean
Kate2001,Polish,"English (UK),German,Japanese"
zoe1002,"Simplified Chinese (China),Traditional Chinese (Hong Kong)","English (US),Japanese"
happybeer,Russian,"English (UK),English (US)"
LaVinette,Russian,"English (US),French (France),Italian"
XiuXiu22,Spanish (Spain),"French (France),Korean,Traditional Chinese (Hong Kong)"
suggdodo,Traditional Chinese (Taiwan),Korean
Ekaterinaskachko56,"Belarusian,Russian",Japanese
malinka94,English (US),English (US)
agust_dead,English (US),Korean
Aulouise,Turkish,"English (UK),German"
Kajov2,Polish,"English (US),Norwegian (bokmal)"
marinagribova,"Russian,Ukrainian","Bulgarian,English (US)"
wampir,Spanish (Chile),English (US)
00lolxdee_lol,"English (US),Finnish","French (France),Japanese,Korean,Norwegian (nynorsk),Spanish (Spain)"
laurastreicher86,Hungarian,"Japanese,English (US)"
MarinaKaminskaya,Russian,English (US)
abdo-bakr,Arabic,English (US)
vlada301295,Russian,Norwegian (nynorsk)
arek_lo,Polish,English (US)
skLiper73,Polish,English (US)
charman,Japanese,English (US)
zlobari7,Russian,"English (US),Japanese"
gamezb,Spanish (Mexico),English (US)
squishysuga,"Greek,English (UK)",Korean
olya_purple,Russian,Korean
fireprocf,Slovenian,Korean
K20gormac08P,Polish,English (UK)
sunbts110903,Russian,Korean
Min_Mlinar,"English (UK),Slovenian,English (US)","Korean,Simplified Chinese (China),Japanese"
Gilio,Russian,English (UK)
gahveky,Spanish (Spain),English (US)
bad_boy,Russian,"English (US),Japanese"
Bertha_Amends,Traditional Chinese (Taiwan),Korean
BonganeSantosh,English (US),Japanese
viry23,Spanish (Mexico),English (US)
kiboji,German,"Japanese,Korean,French (France),English (US)"
LeoGomes,Portuguese (Brazil),English (US)
petit-marshmallow,French (France),"English (US),Korean,Simplified Chinese (China),Traditional Chinese (Taiwan),English (UK)"
Inuana093,German,Korean
ppppk,"Japanese,English (US)","Spanish (Spain),Portuguese (Portugal),Spanish (Mexico)"
Digory,Spanish (Mexico),"English (US),Japanese"
7ammod155,Arabic,English (US)
shahooda111,English (US),English (US)
gladyspham,Vietnamese,Korean
marta8165,Spanish (Spain),English (UK)
Elldagmar,Russian,English (US)
Schleich_Cheetah,Russian,English (US)
marmonlada,Polish,"Dutch,English (UK),Japanese"
Szklanek,Polish,English (US)
c82942,Traditional Chinese (Taiwan),Japanese
minzyisme,"Korean,Simplified Chinese (China)",Japanese
marjlutas,"English (US),Tagalog","Arabic,English (US)"
Arusyak,Russian,English (US)
kompasik,Russian,Korean
beardino,Traditional Chinese (Taiwan),"English (US),Japanese"
agnidomzi,Polish,"English (US),Russian"
Husialkowa,Polish,"Dutch,English (US),French (France),Spanish (Spain)"
lukdiz53,"English (UK),English (US)","French (Canada),German,Italian,Japanese,Korean,Spanish (Chile),Spanish (Spain)"
moaatt,"English (UK),Swedish","Korean,Spanish (Spain)"
IPraise,"Arabic,English (US)",English (US)
NINICHEN,Traditional Chinese (Taiwan),"English (UK),English (US),Japanese,Korean"
Sasasad,"English (US),Simplified Chinese (China)",English (US)
Haroshi,Polish,English (US)
luizskyc,Portuguese (Brazil),English (US)
Aisuka,Spanish (Spain),Japanese
elizaelastefanowa,Polish,"English (UK),French (France),German,Japanese,Romanian,Russian"
karbec,Polish,English (UK)
CookieGirl,English (US),Korean
Egor_otaku,Russian,"English (US),Japanese"
whitearia,English (US),English (US)
vladka11,Russian,"English (US),Korean,Norwegian (nynorsk)"
naj74,English (UK),French (France)
Bunny828,Simplified Chinese (China),English (US)
fjpansede,Spanish (Spain),"English (US),French (France),Galician"
DirewolfGhooost,"English (US),Tagalog","Italian,Spanish (Spain)"
Chanson,"English (UK),Norwegian (bokmal),Norwegian (nynorsk),Spanish (Chile)",German
patrycjabaturo16,Polish,Vietnamese
AnyaLogos,Russian,English (US)
E-Ray,Traditional Chinese (Taiwan),English (US)
alyshiacrowe,English (UK),"Latvian,Russian"
JuliaJanisz,Polish,"English (UK),English (US),German,Russian,Spanish (Spain)"
aosh,Polish,"Czech,English (UK),French (France),German,Swedish"
Hautekrix,English (US),Arabic
hewenguang,Simplified Chinese (China),"English (US),German"
anlogi0804,Spanish (Spain),English (US)
netit34,English (US),German
Sabrina_Abdullina,Russian,"English (UK),Korean"
YUILUI,"English (US),Simplified Chinese (China),Traditional Chinese (Hong Kong)",Japanese
dmitriy1981,Russian,"English (UK),English (US)"
AmyChang,Traditional Chinese (Taiwan),English (US)
jamless_monster,"English (UK),Polish","German,Japanese,Korean,Spanish (Spain)"
yooks,Tagalog,Japanese
shibadsb,Simplified Chinese (China),Japanese
redlamb,Japanese,English (UK)
macyfale,Russian,"English (UK),Norwegian (bokmal),Norwegian (nynorsk)"
karolinaplago,Polish,English (US)
Richmanduva,English (US),"Japanese,Russian"
ayan3621,Tagalog,English (US)
Tanhaiibito,Persian,English (US)
minliezz,"Polish,Russian","English (US),Korean"
yaktak,Japanese,English (US)
Sponge,German,Japanese
goldriel,Polish,"English (US),German,Korean,Simplified Chinese (China)"
Ksuniks,Russian,German
xingyuelu,Simplified Chinese (China),English (US)
Divarient,"Czech,English (US),Polish","Finnish,German,Russian"
mariok,Russian,English (US)
fernandaolszewska,Polish,English (UK)
kissiaojoy,"English (US),Simplified Chinese (China),Traditional Chinese (Taiwan)","Japanese,Korean"
Yannisqiu,English (US),English (US)
renixia,Polish,English (US)
taeline,"English (US),Korean",Korean
justaman,Russian,"English (US),Japanese"
osmarnoel,Spanish (Spain),English (US)
olcix2210,Polish,"English (UK),German"
hpm,Traditional Chinese (Hong Kong),Japanese
JuliaHanna,"English (US),Swedish",Korean
vanya93,Russian,Arabic
AkioKuroyuri,Polish,"English (US),Japanese"
Dejofx,Croatian,German
phamhuudan,Vietnamese,English (US)
Loken,English (US),English (US)
Anya_133,"Russian,English (UK)",English (US)
bubblegun,Polish,"English (UK),Russian"
vakossiex,Polish,"English (US),Russian"
q1125653,Traditional Chinese (Taiwan),English (US)
Maria0204,"Bengali,English (US),French (France),Hindi,Punjabi,Swedish",Korean
lukaszsz1,Polish,English (UK)
wiqw,Polish,English (US)
jun3129,Japanese,English (US)
Leamhhft,Russian,"English (US),Italian,Russian"
DreamingHead,Polish,"English (US),German"
Gih72,Russian,Korean
MrLuki45,Polish,"English (US),French (France),German,Russian"
cinek1391,Polish,"German,Spanish (Spain)"
unx_domiiniicana,Spanish (Spain),"English (US),Spanish (Spain)"
jenniferjk603,German,Korean
ZuziaHelpYou01,Polish,Spanish (Spain)
Jane7,Simplified Chinese (China),English (UK)
wwwqlsdl,Korean,"English (US),Spanish (Spain)"
allentw,Traditional Chinese (Taiwan),"English (US),Japanese"
Tayrel,Spanish (Chile),"English (US),German,Russian"
Gabriel-Aldana,Spanish (Colombia),English (US)
Natally2701,"English (UK),Polish",Spanish (Spain)
kikos06,Polish,"English (US),Russian"
gregschwartz,"English (US),Hebrew",Japanese
JKing,Finnish,"English (US),Japanese,Korean,Spanish (Spain)"
Lau_,"English (US),French (France)","Italian,Japanese,Korean"
venus4994,"Kazakh,Russian","Arabic,English (UK),Italian,Russian,Simplified Chinese (China),French (France),Spanish (Spain)"
arcillajohn,"English (US),Tagalog","Japanese,Korean,Latin,Spanish (Mexico)"
aledark,Spanish (Spain),Japanese
nice16868,Traditional Chinese (Taiwan),Korean
sshhm,Arabic,English (US)
korczi,Polish,Italian
japbg79,Tagalog,"Arabic,Bengali,Japanese"
wy962496,"English (US),Simplified Chinese (China)",English (US)
marianna1382007,Russian,English (US)
bvxgvfbcfvh,Polish,"English (US),Russian"
saramcm,Spanish (Colombia),"English (UK),French (France),Italian"
thuyenbi72,English (US),Spanish (Spain)
meosuhaill,Arabic,English (US)
JonyBravo,English (US),English (US)
panaya,Japanese,"English (US),Korean,Traditional Chinese (Taiwan)"
altaistamov2003gmail,Russian,English (US)
vashaki,Portuguese (Brazil),English (US)
gabaa,Polish,"English (UK),Korean"
YHY1201,Traditional Chinese (Hong Kong),Korean
Polina007,Russian,English (US)
Mira010130,English (US),English (US)
desmodusjoe,English (US),Tagalog
judik07,Spanish (Spain),Korean
Snow1775,Simplified Chinese (China),"English (US),Japanese"
Deea23,"English (US),Romanian","Korean,Spanish (Spain),French (France)"
AdrianArias,Spanish (Spain),English (UK)
Sabiina,Polish,"English (US),French (Canada)"
DCutiepielizzie,English (US),"Japanese,Korean"
angellous1986,Spanish (Spain),English (US)
Duzierocks,Polish,"English (US),German,Russian"
bluecat150204,"English (UK),Lithuanian",Korean
SGulnaz,"Kazakh,Russian","English (US),Spanish (Spain),Turkish"
She_lo_lo_la,"Russian,Ukrainian","English (US),Italian"
hamadehani8,English (UK),English (UK)
oir550,Traditional Chinese (Taiwan),Japanese
szulaaa,Polish,English (US)
shellytsai125,Simplified Chinese (China),English (US)
y_kim17,"English (US),Korean",Japanese
t01047738733,Russian,Korean
Youtubemail1,Russian,English (UK)
KotoB,Russian,Korean
Cheskui,English (US),"French (France),Spanish (Spain)"
SashaVel,Russian,English (US)
AstilAce7,Indonesian,"English (US),Arabic,Japanese,Turkish"
polipoli20205,Russian,"English (US),Norwegian (nynorsk)"
vivienlsm,Traditional Chinese (Hong Kong),"English (UK),German"
Kitty13,Polish,"English (US),German,Latin"
yvonnerocks123,"English (US),Simplified Chinese (China)","Korean,Simplified Chinese (China)"
meira,English (US),Korean
kanna41,Hungarian,English (US)
Kayliegh,English (US),Korean
markusseimer,German,"English (UK),French (France),Italian,Spanish (Spain),English (US)"
pechowiec6,Polish,English (US)
bobojimin,Polish,"English (US),Korean"
__Katherine__,"Czech,English (US),Belarusian","Arabic,Czech,English (US),Hebrew,Russian"
julkayoloo,Polish,English (US)
md_506,Arabic,English (US)
Daikon177_-,Portuguese (Brazil),Japanese
esmaakbulut,"English (UK),German,Turkish","Korean,Japanese,Traditional Chinese (Hong Kong)"
vivilond,Spanish (Colombia),English (US)
Sashok_,Russian,"English (US),German,Korean,Simplified Chinese (China)"
rehavryoss,Russian,"English (UK),Italian"
mile11,Portuguese (Brazil),"English (US),Japanese,Korean"
Astroboi,"English (US),Spanish (Spain)","English (UK),Japanese,Korean,Spanish (Spain)"
AgJohnson,Russian,English (UK)
marijanakeres,English (US),German
huda_rym,Arabic,English (US)
pufek,Romanian,Korean
LuciferN,Polish,"English (US),French (France),Swedish"
Polina0071,Russian,"English (US),Korean"
keisukekawano,Japanese,Indonesian
Jave,English (US),"English (US),Japanese,Korean"
sandra88,Spanish (Spain),English (UK)
KarolDePaula,Portuguese (Brazil),Korean
Meg33,English (US),English (US)
AnnaC254,Russian,"German,English (UK)"
karateman,Japanese,English (US)
gudaru,Vietnamese,Japanese
ursula333,Simplified Chinese (China),English (US)
mihuog,Polish,"English (US),Hebrew,Japanese,Ukrainian"
chiaralezzi,English (US),English (US)
noralee,English (UK),"Japanese,Korean,Spanish (Spain),Irish,Simplified Chinese (China)"
devilstattoo,Russian,"English (US),Japanese,Spanish (Spain)"
Meg333,English (US),English (US)
Camijaz,"Guarani,Spanish (Mexico)",Japanese
MlecznySernik,Polish,English (UK)
Fernandocap,Spanish (Spain),"English (UK),French (France)"
charleschiang2343,Simplified Chinese (China),English (US)
naririmi,English (US),Korean
FIKumicho,Vietnamese,"English (US),Finnish,Japanese"
trinenorway,English (US),Norwegian (bokmal)
irgetwie44,German,"Korean,Spanish (Spain)"
aasia,Polish,English (US)
alfahni888,English (US),Spanish (Spain)
AleksandraCz,Polish,Korean
jewelynluna,"English (US),Tagalog","Arabic,English (US),Korean,Simplified Chinese (China)"
Ambim,French (France),"English (UK),German"
Sxlxntly,"English (US),Spanish (Spain)","Italian,Japanese,Korean,Simplified Chinese (China)"
BrasilianJullia,Portuguese (Brazil),English (US)
Lera20,English (US),English (US)
EvelynWijaya11,"English (US),Indonesian","Japanese,Korean"
Pak,"Korean,Russian","English (UK),Korean"
vjcagay,English (US),Japanese
LisaKrugl,Russian,"English (UK),Norwegian (bokmal)"
dankern72,Russian,Spanish (Spain)
chis,Japanese,Korean
zoed,"English (UK),Greek","Japanese,Korean,Thai"
Lilio24,Spanish (Colombia),"English (US),French (France),German"
davobarseghyan10,"Armenian,Russian,English (UK)","Spanish (Spain),Turkish"
halsey001,Arabic,English (US)
jqmallah,English (US),English (US)
trinenorge,English (US),Norwegian (bokmal)
Siyeyeyey,Simplified Chinese (China),English (US)
tramacraphael,Spanish (Spain),"English (US),Catalan,French (Canada),Portuguese (Brazil)"
SkyeFire123,English (US),"French (France),German,Irish,Japanese,Korean,Russian,Spanish (Spain)"
wikine,"English (UK),Polish",Japanese
LittleUnicorn,German,"English (US),Korean"
momoc,Japanese,English (US)
Ani080806,"Italian,Spanish (Spain)","English (UK),English (US),French (France)"
sept8girl2006,Korean,English (US)
morfinax,Polish,"English (US),Italian,Japanese,Danish"
mokkyy,Japanese,English (US)
krisgurskaya,Russian,Norwegian (bokmal)
barazan_rashid,Arabic,"English (UK),Russian"
mayme8,English (US),English (US)
anzani,Indonesian,English (US)
Ruk_sana,English (US),"Korean,Tamil"
leospace123,Simplified Chinese (China),"English (US),Japanese"
hbajmal997,Arabic,"English (US),Korean"
Duckdog1337,English (US),Japanese
Den1,English (US),English (US)
carlosvivas11,Spanish (Spain),"English (US),French (France)"
eamahon,English (US),"Irish,Italian,Japanese,Russian,Welsh"
gabrielkulczynski,"German,Polish","English (US),German,Polish"
JackyK11,Dutch,English (UK)
nastasi-s,English (US),English (US)
Ouzzhnn,Turkish,English (US)
amyjon0813,Traditional Chinese (Taiwan),"English (US),Japanese,Korean"
Bwanna,English (US),"Japanese,Korean"
moen0,Korean,English (US)
FatimaPatricia,Tagalog,Polish
7d8a9r,Polish,"English (UK),English (US),German,Polish"
EvaKon,Russian,"English (US),Korean"
eddek26,Polish,"English (US),Italian"
Jiya_K,Korean,"English (US),Japanese,Spanish (Spain)"
kaoshen,Simplified Chinese (China),English (US)
denladen543,Russian,Korean
Abdou1980,"Arabic,French (France)",German
dawidplatt71,Polish,"Czech,English (UK),French (France),German,Italian,Japanese,Spanish (Spain)"
moen102,Korean,English (US)
Rayaanboi,English (US),Korean
absrat,English (US),Spanish (Spain)
Jamilla17,"English (US),Swedish","Korean,Japanese"
daimochi,English (US),"French (France),Italian,Japanese,Korean,Thai,Simplified Chinese (China)"
korizza,Russian,"English (US),German"
kimberlychacon1020,Spanish (Spain),English (US)
beakhyun,Japanese,Korean
troyeskookie,"German,Spanish (Spain)","Korean,Italian,Turkish"
halsey116,Arabic,"English (US),Spanish (Spain)"
gina_tien,Traditional Chinese (Taiwan),English (US)
Kaiws,Traditional Chinese (Taiwan),"English (US),Japanese"
Noor0Q,"Arabic,English (US),Kurdish,Turkish","English (US),Spanish (Spain),Turkish"
megaafr,English (US),Thai
onlyvivre,Polish,"Dutch,English (UK),French (France),German,Hungarian,Irish,Japanese,Korean,Norwegian (bokmal),Norwegian (nynorsk),Swedish,Vietnamese,Welsh"
selfester005,Arabic,English (US)
You777,Japanese,English (US)
aljohara61,Arabic,English (US)
liyijieangelo,Italian,Simplified Chinese (China)
lucksmelo16,Portuguese (Brazil),"English (US),Korean"
sathyatvrcbe,Tamil,Japanese
bhdr23,Turkish,English (US)
arushi,Hindi,"Japanese,Korean,Sanskrit,English (UK)"
juanlopez,Spanish (Spain),"Japanese,English (US)"
savagelittlellama,English (US),"Korean,Simplified Chinese (China),Spanish (Mexico),Hungarian"
Cecil_Fenwick,Polish,"English (UK),German,Korean,Spanish (Spain),Czech"
Mbarszcz,Polish,English (US)
alls,Polish,English (UK)
haru_senpai,Spanish (Mexico),English (US)
pretzel,Polish,"English (UK),German"
Olyajen,Russian,"Spanish (Spain),English (US),Korean"
bec161606,English (UK),Korean
mandie04,English (US),Korean
Zuzanna1004,Polish,"English (UK),English (US),French (France),Japanese"
MariaHelene,Danish,Korean
Stanns,Spanish (Mexico),English (US)
naiaputrii,"English (US),Indonesian","English (US),Korean"
ahmedmaadi100,"Arabic,French (France),Korean","English (US),Turkish"
miguelcoutss,Portuguese (Portugal),Korean
Sasha_Monakhova_,Russian,"English (US),German"
timmy1234563,Traditional Chinese (Taiwan),English (US)
Yifffcc,Traditional Chinese (Taiwan),English (US)
missmessyme,"English (US),Tagalog","Korean,Spanish (Spain)"
danielmtv6,Spanish (Colombia),English (US)
mrkilergamse03,Arabic,Spanish (Spain)
mmelis,Turkish,English (US)
ayeitspeebee,"English (US),Tagalog",Korean
Elisabeth0929,Greek,"English (US),Japanese,Korean"
ast1502,English (US),English (US)
snik511,English (US),English (US)
a0903331323,Traditional Chinese (Taiwan),"English (US),Japanese,Korean"
Shelley525,Traditional Chinese (Taiwan),English (US)
GG_,"English (US),Swedish","Japanese,Korean,Dutch"
emrullahdemir57,Turkish,"English (US),German"
gollem,Russian,Japanese
akameso,Russian,English (UK)
asionirity,Russian,"English (UK),Japanese"
Lillepus_04,Norwegian (bokmal),"Korean,Thai"
ronniecalixo,English (US),Korean
Lida99110141,Russian,Korean
gell83,Korean,English (US)
annechristine1969,"French (France),Spanish (Spain)","English (US),Italian,Japanese,Portuguese (Portugal),Spanish (Spain),Portuguese (Brazil)"
StawberryKaike,"English (US),Spanish (Spain)","Japanese,Korean"
Maxwell3,Simplified Chinese (China),English (US)
avenue,Japanese,English (US)
jonginbaek_san,English (US),Korean
Sajida8,French (France),French (France)
xandieantivola,"English (US),Tagalog",Korean
BastryginaN,Russian,"English (UK),Korean"
smoljimin,English (UK),"Japanese,Korean"
eridiazre,Spanish (Mexico),English (US)
felicia4111995,"Dutch,English (US),German","Japanese,Korean"
arisha2001,Russian,Norwegian (bokmal)
Sukookiee,German,"English (US),Japanese,Korean"
Amina2003,Russian,English (UK)
emeraldgreen113,English (US),"Afrikaans,Korean"
natalia2121,Polish,"English (US),Polish"
ekvel,Russian,Korean
95VMIN,Traditional Chinese (Taiwan),Korean
juliaho,English (US),Korean
Anastasya028,Russian,English (US)
avenievey,Indonesian,"Korean,English (UK),Dutch"
Yorlady,Spanish (Colombia),English (US)
kfamerced,English (US),"French (France),Hungarian,Italian"
Natali125mi,Russian,"English (US),Norwegian (nynorsk)"
dbsstussy,Malay,"Tagalog,Spanish (Spain)"
vadikmartyn21081992,Ukrainian,English (US)
berryberri,Korean,English (US)
filozofiara,Polish,"English (US),Hebrew,Italian"
cxuailang,"English (US),Polish","Japanese,Korean,Vietnamese"
CatAnna,Italian,"French (France),English (UK)"
Feborngood,Simplified Chinese (China),English (US)
arabellad,Spanish (Mexico),English (US)
oinotamorningperson,Russian,"English (UK),English (US),German,Kazakh"
FarhanAsian,English (US),Japanese
przmar7786,Polish,"English (UK),English (US)"
zalezn,"Russian,Ukrainian","English (US),French (France),Korean"
hannahzada,Arabic,English (US)
jessi1609,Spanish (Colombia),English (US)
ocelot73,Russian,Japanese
johan3823,Spanish (Colombia),"English (UK),English (US)"
juliaczokow5,"English (UK),Polish","English (UK),German"
rufi990807,Russian,"English (US),Japanese"
ngoanpham,Vietnamese,English (US)
kingaaaaa,Polish,"English (UK),English (US),Spanish (Mexico),Spanish (Spain),Spanish (Venezuela)"
shigotohatice,Turkish,Japanese
fatimah1422,Arabic,English (US)
JuliaKieloch,"English (US),Polish","English (US),French (France)"
SuperFujoshi2oo6,Spanish (Colombia),Japanese
Marysia00,Polish,English (US)
kwenada,English (UK),"Indonesian,Korean"
lpapira,Russian,"English (US),Japanese,Kazakh,Korean,Russian"
nillilininja,"French (France),English (US)","Korean,Japanese,Spanish (Chile)"
vuralparilti,Turkish,English (UK)
Rakidoodle,"English (US),Tagalog","English (US),Japanese,Korean,Spanish (Mexico)"
Del13,English (US),English (US)
monakej,Polish,"English (UK),English (US),French (France),Japanese,Spanish (Mexico),Spanish (Spain)"
morti19,Russian,Korean
Amelia_Gabi,Romanian,Korean
86_Sun_HB,Simplified Chinese (China),English (US)
kirach2o,Russian,"English (US),Japanese"
Hirofit,Japanese,English (US)
Diosdado,English (US),"English (US),Arabic,Portuguese (Brazil),Spanish (Spain)"
pretty_bangtan_,English (UK),"French (France),Japanese,Korean,Simplified Chinese (China),Turkish"
angel_dyl,Russian,"English (US),Korean"
Nikita2001,Russian,English (US)
jojokim,German,"Japanese,Korean,Traditional Chinese (Hong Kong)"
xinappropriate,Polish,"English (US),French (France)"
agatabk,Polish,"English (UK),German"
dizzysheeps,English (US),"Korean,Simplified Chinese (China)"
Ayzek,Turkish,English (UK)
Muhamed88Zizou,"Arabic,English (US)","French (France),Korean,Turkish,Spanish (Spain)"
audreythebyer,English (US),Korean
foxyff,Russian,Norwegian (bokmal)
nana_aza,Simplified Chinese (China),Japanese
Morto_yehet,Russian,Korean
pichi8352,Traditional Chinese (Taiwan),"English (US),Japanese"
BtsARMyandigot7,"English (US),Korean","English (US),Korean"
YanaKosenok,Russian,"English (US),Finnish"
BTGreenQ,Russian,Japanese
fakecoughslut,Polish,English (US)
gaedong,Turkish,"Arabic,English (US),Korean"
Tbhmxvxdxk,"Arabic,English (UK)","Japanese,Korean"
Campo,Spanish (Colombia),English (US)
francisteh,"English (US),Simplified Chinese (China)","English (UK),Japanese"
tsai24,Traditional Chinese (Taiwan),English (US)
richelviernes,English (US),"Portuguese (Portugal),Thai"
Dichler,Korean,English (UK)
nyru,Polish,"English (US),Japanese,Korean,Simplified Chinese (China)"
ieatwaffles,"English (UK),Finnish",Korean
Min25,"Simplified Chinese (China),Traditional Chinese (Taiwan)",English (US)
yo-sabrinnaa,English (US),"Japanese,Korean,Spanish (Mexico),Traditional Chinese (Hong Kong)"
Fragola,Polish,"English (US),Italian"
Katya219,Russian,Norwegian (bokmal)
Katya219,Russian,Norwegian (bokmal)
raanstar,Traditional Chinese (Taiwan),"English (US),Japanese"
PJPolly,Russian,Korean
zaleska,Polish,"English (US),Icelandic,Spanish (Spain)"
beanx3,Polish,"English (UK),French (France),German,Spanish (Spain)"
SUKEPON,Japanese,English (UK)
N19ck1,Russian,English (US)
Pearlconley,English (US),"Arabic,Dutch,French (France),German,Japanese,Korean"
eunbeekoh,Korean,French (France)
ViktoriayLibro,Russian,"English (US),German,Japanese"
migi1905,Italian,English (US)
olix,Polish,"English (UK),Spanish (Spain)"
fan53,Simplified Chinese (China),English (US)
noorafalah,"Arabic,English (US)","German,Japanese,Korean,Spanish (Spain)"
valterino14,"English (UK),Latvian","English (US),Russian,Spanish (Colombia),Spanish (Spain)"
mlynn315,English (US),French (France)
Ahmad233,Arabic,English (US)
Ali012210,English (UK),Japanese
flavianievas12,"Spanish (Spain),Spanish (Venezuela)","English (UK),English (US)"
